,recovery,temperature,code1,code2,share1,share2
0,5,37.435608002827024,AHS,AWB,0.1,0.9
1,10,58.02024465008216,AHS,AWB,0.1,0.9
2,20,178.19590619088132,AHS,AWB,0.1,0.9
3,30,320.0993361296427,AHS,AWB,0.1,0.9
4,40,399.36950551669054,AHS,AWB,0.1,0.9
5,50,467.5742868293258,AHS,AWB,0.1,0.9
6,60,540.7277830702055,AHS,AWB,0.1,0.9
7,70,622.9224249444113,AHS,AWB,0.1,0.9
8,80,,AHS,AWB,0.1,0.9
9,90,,AHS,AWB,0.1,0.9
10,95,,AHS,AWB,0.1,0.9
11,99,,AHS,AWB,0.1,0.9
0,5,37.500240668386766,AHS,AWB,0.11,0.89
1,10,58.21801284184916,AHS,AWB,0.11,0.89
2,20,178.21550785102707,AHS,AWB,0.11,0.89
3,30,320.4271189181198,AHS,AWB,0.11,0.89
4,40,399.8664966325611,AHS,AWB,0.11,0.89
5,50,468.0092044636868,AHS,AWB,0.11,0.89
6,60,540.6845120945777,AHS,AWB,0.11,0.89
7,70,622.2316988759824,AHS,AWB,0.11,0.89
8,80,,AHS,AWB,0.11,0.89
9,90,,AHS,AWB,0.11,0.89
10,95,,AHS,AWB,0.11,0.89
11,99,,AHS,AWB,0.11,0.89
0,5,37.56563700602882,AHS,AWB,0.12,0.88
1,10,58.41699197204529,AHS,AWB,0.12,0.88
2,20,178.23511308802054,AHS,AWB,0.12,0.88
3,30,320.75649646329896,AHS,AWB,0.12,0.88
4,40,400.363519990229,AHS,AWB,0.12,0.88
5,50,468.44001348962473,AHS,AWB,0.12,0.88
6,60,540.6418935410069,AHS,AWB,0.12,0.88
7,70,621.5507627033656,AHS,AWB,0.12,0.88
8,80,,AHS,AWB,0.12,0.88
9,90,,AHS,AWB,0.12,0.88
10,95,,AHS,AWB,0.12,0.88
11,99,,AHS,AWB,0.12,0.88
0,5,37.6313385355416,AHS,AWB,0.13,0.87
1,10,58.6172188475107,AHS,AWB,0.13,0.87
2,20,178.25472227257765,AHS,AWB,0.13,0.87
3,30,321.0875345104015,AHS,AWB,0.13,0.87
4,40,400.86056137304035,AHS,AWB,0.13,0.87
5,50,468.86672106906593,AHS,AWB,0.13,0.87
6,60,540.5999126359887,AHS,AWB,0.13,0.87
7,70,620.8794657105256,AHS,AWB,0.13,0.87
8,80,,AHS,AWB,0.13,0.87
9,90,,AHS,AWB,0.13,0.87
10,95,,AHS,AWB,0.13,0.87
11,99,,AHS,AWB,0.13,0.87
0,5,37.69691157749551,AHS,AWB,0.14,0.86
1,10,58.818729219102586,AHS,AWB,0.14,0.86
2,20,178.27433576872087,AHS,AWB,0.14,0.86
3,30,321.4202522915611,AHS,AWB,0.14,0.86
4,40,401.357639690738,AHS,AWB,0.14,0.86
5,50,469.28934304068474,AHS,AWB,0.14,0.86
6,60,540.5585550490763,AHS,AWB,0.14,0.86
7,70,620.2176555317183,AHS,AWB,0.14,0.86
8,80,,AHS,AWB,0.14,0.86
9,90,,AHS,AWB,0.14,0.86
10,95,,AHS,AWB,0.14,0.86
11,99,,AHS,AWB,0.14,0.86
0,5,37.76194677612445,AHS,AWB,0.15,0.85
1,10,59.02155798531085,AHS,AWB,0.15,0.85
2,20,178.29395393376583,AHS,AWB,0.15,0.85
3,30,321.7546982274821,AHS,AWB,0.15,0.85
4,40,401.8547397177044,AHS,AWB,0.15,0.85
5,50,469.7078870124194,AHS,AWB,0.15,0.85
6,60,540.5178068764965,AHS,AWB,0.15,0.85
7,70,619.5651750903287,AHS,AWB,0.15,0.85
8,80,,AHS,AWB,0.15,0.85
9,90,,AHS,AWB,0.15,0.85
10,95,,AHS,AWB,0.15,0.85
11,99,,AHS,AWB,0.15,0.85
0,5,37.82605863693873,AHS,AWB,0.16,0.84
1,10,59.22576135151319,AHS,AWB,0.16,0.84
2,20,178.31357711830785,AHS,AWB,0.16,0.84
3,30,322.09093886597907,AHS,AWB,0.16,0.84
4,40,402.35187965670815,AHS,AWB,0.16,0.84
5,50,470.1223779751942,AHS,AWB,0.16,0.84
6,60,540.4776546254793,AHS,AWB,0.16,0.84
7,70,618.9218725976115,AHS,AWB,0.16,0.84
8,80,,AHS,AWB,0.16,0.84
9,90,,AHS,AWB,0.16,0.84
10,95,,AHS,AWB,0.16,0.84
11,99,,AHS,AWB,0.16,0.84
0,5,37.888885078854464,AHS,AWB,0.17,0.83
1,10,59.431391006935634,AHS,AWB,0.17,0.83
2,20,178.33320566620796,AHS,AWB,0.17,0.83
3,30,322.4289953783756,AHS,AWB,0.17,0.83
4,40,402.8490433211703,AHS,AWB,0.17,0.83
5,50,470.5328283040125,AHS,AWB,0.17,0.83
6,60,540.4380851992646,AHS,AWB,0.17,0.83
7,70,618.2875945908207,AHS,AWB,0.17,0.83
8,80,,AHS,AWB,0.17,0.83
9,90,,AHS,AWB,0.17,0.83
10,95,,AHS,AWB,0.17,0.83
11,99,,AHS,AWB,0.17,0.83
0,5,37.950087000634895,AHS,AWB,0.18,0.82
1,10,59.63848370797814,AHS,AWB,0.18,0.82
2,20,178.35283991457933,AHS,AWB,0.18,0.82
3,30,322.7689180745156,AHS,AWB,0.18,0.82
4,40,403.3462481796102,AHS,AWB,0.18,0.82
5,50,470.93926407526067,AHS,AWB,0.18,0.82
6,60,540.3990858827528,AHS,AWB,0.18,0.82
7,70,617.6621842432884,AHS,AWB,0.18,0.82
8,80,,AHS,AWB,0.18,0.82
9,90,,AHS,AWB,0.18,0.82
10,95,,AHS,AWB,0.18,0.82
11,99,,AHS,AWB,0.18,0.82
0,5,38.009375571879204,AHS,AWB,0.19,0.81
1,10,59.84707492157046,AHS,AWB,0.19,0.81
2,20,178.37248019377398,AHS,AWB,0.19,0.81
3,30,323.11077362924874,AHS,AWB,0.19,0.81
4,40,403.84347712935295,AHS,AWB,0.19,0.81
5,50,471.3417109902366,AHS,AWB,0.19,0.81
6,60,540.3606443287687,AHS,AWB,0.19,0.81
7,70,617.0454926050189,AHS,AWB,0.19,0.81
8,80,,AHS,AWB,0.19,0.81
9,90,,AHS,AWB,0.19,0.81
10,95,,AHS,AWB,0.19,0.81
11,99,,AHS,AWB,0.19,0.81
0,5,38.06788931321558,AHS,AWB,0.2,0.8
1,10,60.05720069461882,AHS,AWB,0.2,0.8
2,20,178.3921268273687,AHS,AWB,0.2,0.8
3,30,323.4545839486834,AHS,AWB,0.2,0.8
4,40,404.3407468788762,AHS,AWB,0.2,0.8
5,50,471.7401887560668,AHS,AWB,0.2,0.8
6,60,540.3227485449065,AHS,AWB,0.2,0.8
7,70,616.4373649382092,AHS,AWB,0.2,0.8
8,80,,AHS,AWB,0.2,0.8
9,90,,AHS,AWB,0.2,0.8
10,95,,AHS,AWB,0.2,0.8
11,99,,AHS,AWB,0.2,0.8
0,5,38.12635317538689,AHS,AWB,0.21,0.79
1,10,60.26893117244199,AHS,AWB,0.21,0.79
2,20,178.41178013215136,AHS,AWB,0.21,0.79
3,30,323.80040366484405,AHS,AWB,0.21,0.79
4,40,404.83803945092825,AHS,AWB,0.21,0.79
5,50,472.1347349826173,AHS,AWB,0.21,0.79
6,60,540.2853868809328,AHS,AWB,0.21,0.79
7,70,615.8376504151933,AHS,AWB,0.21,0.79
8,80,,AHS,AWB,0.21,0.79
9,90,,AHS,AWB,0.21,0.79
10,95,,AHS,AWB,0.21,0.79
11,99,,AHS,AWB,0.21,0.79
0,5,38.18476473559553,AHS,AWB,0.22,0.78
